source,target,weight
1,61,1.075268817
1,63,1.020408163
2,40,2.061170213
2,62,1.06456044
2,63,1.020408163
3,62,1.06456044
3,63,1.020408163
4,61,1.01010101
4,62,0.999000999
4,63,1.020408163
5,62,1.098901099
5,63,1.020408163
6,8,1.913875598
6,49,1.336675021
6,57,1.335428123
6,61,1.075268817
6,62,0.954308849
6,63,1.020408163
7,63,1.020408163
8,57,1.356852103
8,61,1.05083089
8,62,0.949050949
8,63,1.020408163
9,63,0.987491771
10,63,1.020408163
11,61,1.075268817
11,62,1.03021978
11,63,1.020408163
12,61,1.01010101
12,62,0.999000999
12,63,0.989486704
13,61,1.008064516
13,62,1.06456044
13,63,1.020408163
14,61,1.01010101
14,62,1.065601066
14,63,1.020408163
15,61,1.01010101
15,62,0.999000999
15,63,1.020408163
16,61,0.962082626
16,62,0.954308849
16,63,1.020408163
17,62,1.066580478
17,63,0.990396158
18,62,1.066580478
18,63,1.020408163
19,61,0.948766603
19,62,1.066580478
19,63,1.020408163
20,61,1.01010101
20,62,1.032301032
20,63,1.020408163
21,59,1.232114467
21,60,1.06685633
21,61,0.988084859
21,62,1.00980101
21,63,1.020408163
22,61,0.980392157
22,62,1.001939237
22,63,1.020408163
23,61,0.980392157
23,62,1.066580478
23,63,1.020408163
24,61,1.008064516
24,62,1.06456044
24,63,0.988520408
25,63,1.020408163
26,61,0.977517107
26,62,0.999000999
26,63,1.020408163
27,53,1.349206349
27,57,1.279317697
27,60,1.065162907
27,61,0.972862263
27,62,1.020408163
27,63,1.020408163
28,58,1.274671053
28,61,0.990379174
28,62,0.954308849
28,63,1.020408163
29,61,0.933786078
29,62,0.954308849
29,63,0.993555317
30,59,1.238390093
30,61,0.962082626
30,62,0.983227299
30,63,1.020408163
31,32,1.93236715
32,31,1.93236715
31,33,1.777777778
33,31,1.777777778
31,61,1.075268817
31,62,0.976800977
31,63,0.997732426
34,60,1.079622132
34,61,1.020126827
34,62,1.014370245
34,63,1.020408163
32,33,1.869565217
33,32,1.869565217
32,61,1.075268817
32,62,0.979455327
32,63,0.998225377
35,59,1.199690402
35,60,1.073407202
35,61,1.046972269
35,62,1.041064199
35,63,0.993555317
36,61,1.020126827
36,62,1.042547196
36,63,1.020408163
37,61,0.967741935
37,62,1.071428571
37,63,1.020408163
38,61,0.944138474
38,62,1.045296167
38,63,1.020408163
39,49,1.317122594
39,52,1.467351431
39,53,1.418439716
39,57,1.302000635
39,60,1.063829787
39,61,1.029512697
39,62,0.981996727
39,63,1.020408163
40,57,1.238488409
40,61,0.983756577
40,62,1.028758476
40,63,1.020408163
41,61,0.979689367
41,62,0.952380952
41,63,1.020408163
42,57,1.206732296
42,61,0.983756577
42,62,0.981996727
42,63,1.020408163
33,61,1.032258065
33,62,0.967032967
33,63,1
43,61,0.931899642
43,62,1.025641026
43,63,1.020408163
44,61,0.983756577
44,62,1.075520224
44,63,1.020408163
45,59,1.241830065
45,61,1.003584229
45,62,1.074481074
45,63,1.020408163
46,59,1.295518207
46,61,0.947260625
46,62,1.020408163
46,63,0.996112731
47,58,1.317401961
47,59,1.297577855
47,60,1.135190918
47,61,1.01201771
47,62,0.991165697
