source	target
1	136
2	136
3	136
3	139
5	136
6	139
7	136
8	136
9	136
9	139
11	48
12	139
12	148
14	136
15	139
16	139
17	40
17	139
17	148
20	139
21	139
21	148
23	48
23	148
25	139
26	139
26	148
28	148
29	139
29	148
31	148
32	148
33	48
33	139
33	148
36	139
37	136
37	139
39	148
40	148
41	48
41	148
43	148
44	148
45	48
45	139
47	148
48	148
49	139
50	136
51	148
52	139
53	148
54	48
55	139
56	139
56	148
58	48
59	148
58	139
61	148
62	148
63	139
64	148
65	148
66	148
67	139
68	148
69	45
70	148
69	47
72	148
69	48
74	148
75	43
76	148
77	139
78	48
77	148
75	48
78	148
75	139
83	139
83	148
85	48
86	148
85	139
88	139
89	136
90	136
91	139
91	148
90	139
94	148
95	148
96	148
97	148
98	139
99	48
100	45
99	139
102	45
99	148
104	148
105	47
100	148
105	48
102	148
109	148
110	148
111	148
112	148
113	148
114	148
115	48
116	48
116	148
118	148
119	48
120	148
121	148
122	48
122	148
124	48
125	148
126	48
126	139
128	148
129	148
130	148
131	148
132	48
133	45
134	148
135	48
